,Nod_ref,Way_Id,highway,junction,lanes,name,color,size1,size2,Lon,Lat
43,"[552908729, 1329638666, 49953142]",6067237,residential,,,Calle Cocheras de San Cecilio,#FFFFFF,medio,1,"[-3.5925777999999999, -3.5927986000000005, -3.5930921000000002]","[37.173519799999994, 37.173648100000001, 37.173860299999994]"
44,"[882456776, 49953170, 2068288724, 2068288717]",6067238,residential,,,Paseo del Generalife,#FFFFFF,medio,1,"[-3.5849553999999997, -3.5849097000000003, -3.5850081, -3.5850987000000001]","[37.174191899999997, 37.174243299999993, 37.174343, 37.174302300000001]"
45,"[49953206, 49953207, 3579685209, 49953216, 49953221, 49953224, 49953227, 49953231, 49953233, 49953184, 2835411710, 2068288709, 49953172]",6067239,footway,,,,#FF6347,linea,1,"[-3.5857592000000005, -3.5851584999999999, -3.5847232000000004, -3.5846873999999995, -3.5848330000000002, -3.5848309999999999, -3.5847627000000002, -3.5847037000000004, -3.5846296000000004, -3.5845571000000005, -3.5846235000000002, -3.5846345999999998, -3.5846862000000002]","[37.177527399999995, 37.176259899999998, 37.175357599999998, 37.175282200000005, 37.175088899999999, 37.174852899999998, 37.174695799999995, 37.174613700000002, 37.174504399999996, 37.1744196, 37.174243299999993, 37.174213899999998, 37.174155299999995]"
46,"[49953184, 49953187, 49953191, 49953194, 49953196, 49953197, 49953200, 49953202, 295148425, 295148427, 295148428, 295148429, 295148431, 295148433, 295148455, 295148438, 295148442, 295148443, 295148444, 295148447, 295148446]",6067240,footway,,,,#FF6347,linea,1,"[-3.5845571000000005, -3.5844849000000001, -3.5835547999999995, -3.5840429999999999, -3.5843152999999996, -3.5845529000000003, -3.5847790000000002, -3.5852651, -3.5852184, -3.5851487, -3.5851185999999999, -3.5851185999999999, -3.5851506, -3.5850997000000002, -3.5852672999999995, -3.5853502000000002, -3.5853144000000001, -3.5853682, -3.5853158999999999, -3.5854589999999997, -3.5855141000000001]","[37.1744196, 37.174449700000004, 37.175260799999997, 37.175875399999995, 37.176213099999998, 37.176385400000001, 37.176577700000003, 37.177597300000002, 37.177664399999998, 37.177623799999992, 37.177637299999994, 37.177670399999997, 37.177709399999998, 37.177766399999996, 37.177991299999995, 37.178087499999997, 37.178109999999997, 37.178153399999999, 37.178190800000003, 37.178350500000001, 37.178395100000003]"
47,"[295148498, 295148497, 295148500, 49953242, 49953245, 49953247]",6067241,footway,,,,#FF6347,linea,1,"[-3.5922540000000001, -3.5922370000000003, -3.5921675999999998, -3.5921715999999999, -3.5918769999999998, -3.5913644000000002]","[37.177039299999997, 37.176922799999993, 37.176921700000001, 37.177009900000002, 37.177038600000003, 37.1770815]"
48,"[49953247, 2068070244, 49953253, 49953257]",6067242,footway,,,,#FF6347,linea,1,"[-3.5913644000000002, -3.5913349999999999, -3.5913053000000001, -3.5911550999999999]","[37.1770815, 37.177367100000005, 37.177459399999996, 37.177455500000001]"
49,"[49953257, 2068101811, 49953266, 2068101790]",6067243,footway,,,,#FF6347,linea,1,"[-3.5911550999999999, -3.5911656000000001, -3.5911839999999997, -3.5911545]","[37.177455500000001, 37.177313099999999, 37.177148799999998, 37.177143299999997]"
50,"[49953260, 49953308, 49953309, 49953310]",6067244,footway,,,,#FF6347,linea,1,"[-3.5908391000000002, -3.5908752999999995, -3.5908349999999998, -3.5905629999999999]","[37.176702800000001, 37.176527, 37.176426700000007, 37.176344700000001]"
51,"[53276784, 1708718523, 1708718524, 1756699032, 1756699034]",6554789,steps,,,Cuesta de San Augustin,#FF0000,peque,1,"[-3.5891266000000002, -3.5890407, -3.5889531000000003, -3.5887652999999999, -3.5887008000000002]","[37.181148399999998, 37.181165399999998, 37.181197900000001, 37.181218399999999, 37.1812331]"
52,"[1756699029, 53276785]",6554792,residential,,,Calle Peso de la Harina,#FFFFFF,medio,1,"[-3.5886845999999997, -3.5885491000000003]","[37.181174400000003, 37.181189000000003]"
