,Nod_Id,Nod_Lat,Nod_Lon,Nod_Highway
80553,2202300434,37.1881088,-3.6054931,0
80554,2202300436,37.1881092,-3.6065117,0
80555,2202300438,37.1881139,-3.6054970,0
80556,2202300439,37.1881188,-3.6065183,0
80557,2202300440,37.1881230,-3.6054887,0
80558,2202300441,37.1881241,-3.6055410,0
80559,2202300442,37.1881321,-3.6049495,0
80560,2202300443,37.1881352,-3.6055570,0
80561,2202300444,37.1881361,-3.6046357,0
80562,2202300445,37.1881391,-3.6064255,0
80563,2202300446,37.1881498,-3.6067674,0
80564,2202300448,37.1881556,-3.6055346,0
80565,2202300457,37.1881598,-3.6067575,0
80566,2202300460,37.1881651,-3.6049138,0
80567,2202300462,37.1881671,-3.6064657,0
80568,2202300463,37.1881684,-3.6070255,0
80569,2202300465,37.1881738,-3.6066298,0
80570,2202300468,37.1881743,-3.6066017,0
80571,2202300470,37.1881759,-3.6071006,0
80572,2202300472,37.1881799,-3.6066094,0
80573,2202300474,37.1881799,-3.6066215,0
80574,2202300476,37.1881947,-3.6065794,0
80575,2202300478,37.1881999,-3.6063603,0
80576,2202300479,37.1882015,-3.6049662,0
80577,2202300481,37.1882089,-3.6067013,0
80578,2202300483,37.1882170,-3.6066924,0
80579,2202300485,37.1882289,-3.6063999,0
80580,2202300487,37.1882305,-3.6070600,0
80581,2202300489,37.1882333,-3.6066317,0
80582,2202300490,37.1882512,-3.6069363,0
80583,2202300492,37.1882541,-3.6069205,0
80584,2202300494,37.1882548,-3.6069101,0
80585,2202300496,37.1882570,-3.6069282,0
80586,2202300498,37.1882609,-3.6069034,0
80587,2202300500,37.1882618,-3.6066055,0
80588,2202300501,37.1882679,-3.6066132,0
80589,2202300502,37.1882712,-3.6071487,0
80590,2202300503,37.1882743,-3.6047171,0
80591,2202300504,37.1882807,-3.6069833,0
80592,2202300505,37.1882808,-3.6058344,0
80593,2202300506,37.1882814,-3.6050783,0
80594,2202300507,37.1882857,-3.6066126,0
80595,2202300508,37.1882901,-3.6069445,0
80596,2202300510,37.1883016,-3.6058127,0
80597,2202300512,37.1883016,-3.6069589,0
