,Nod_ref,Tags,Way_Id,access,amenity,area,barrier,bicycle,bridge,bus,cycleway,handrail,hgv,highway,junction,lanes,layer,leisure,name,name:en,oneway,oneway:conditional,parking:lane:both,psv,ref,route,sidewalk,surface,tourist_bus,tracktype,color_size,color,size1,size2
2153,"['1011905631', '1011905773', '1011905409', '1011905997', '1011904956', '1011905319', '1515242644', '1011905144', '1011906153', '1515242646', '1011905217', '1011905947', '1011905481', '1011906229', '1011905017', '1011905251', '1011905721', '1011905508', '1011905462', '1011905860', '1011906099', '1011905163', '1515242642', '1011905115', '1011905991', '1011905080', '1515242640', '1011905256', '1011904865', '1011905949', '1011905581', '1011906100', '1011904708', '1011904802', '1011905631']","{'source:date': '2008', 'highway': 'residential', 'junction': 'roundabout', 'source': 'PNOA'}",86977301,,,,,,,,,,,residential,roundabout,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2154,"['1011905260', '1011905891', '1011905352', '1011905119', '4267828468', '1011906032', '1011904900', '1011905198', '1011905746', '4267828469', '1011904960', '1011905054', '1657428061', '1011905673', '1011905951', '1362818835', '1011904810', '1657428059', '1011906205', '1657428057', '1011904991', '1011905517', '1011905804', '1011905260']","{'highway': 'residential', 'junction': 'roundabout'}",86977303,,,,,,,,,,,residential,roundabout,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2155,"['1011905506', '1011905796', '2240105635', '1011905007', '1011905360']","{'name': 'Avenida de la Ilustración', 'highway': 'tertiary', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977304,,,,,,,,,,,tertiary,,,,,Avenida de la Ilustración,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
2156,"['1011906010', '1656215817', '1362818920', '1011905967', '1362818600', '1011905221', '1656215820', '1011905282', '1362818712', '1011905872', '1011905826', '1011905542', '1362818881', '1656215819', '1011904976', '1011905647', '1362818608', '1011904832', '1362818837', '1011906010']",{'highway': 'footway'},86977305,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
2157,"['1011905456', '1011905707', '1011905889']","{'name': 'Avenida del Conocimiento', 'highway': 'tertiary', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977307,,,,,,,,,,,tertiary,,,,,Avenida del Conocimiento,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
2159,"['1011905694', '1011905222', '1011906188', '1011905665', '1011905497', '1011905286', '1011904883', '1011904790', '1011904952', '1011905503', '1011906135', '1011904795', '1268360123', '1011905183', '1011905787', '1011906191', '1011904837', '1011905102', '1011906023', '1011905332', '1011906073', '1011905694']","{'source:date': '2008', 'highway': 'residential', 'junction': 'roundabout', 'source': 'PNOA'}",86977309,,,,,,,,,,,residential,roundabout,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2160,"['893036034', '1012789791', '1012789284', '1011905080']","{'name': 'Avenida del Conocimiento', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977310,,,,,,,,,,,residential,,,,,Avenida del Conocimiento,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2161,"['1011905144', '1011905754', '1747444672', '1011905621', '1011904754', '1011906046', '1011905201', '1011905901', '1011905056', '1011904817', '1011905520', '1011906207', '1011905357', '1515242650', '1011905707']","{'name': 'Calle Avicena', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977311,,,,,,,,,,,residential,,,,,Calle Avicena,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2163,"['1656215821', '1011905221']",{'highway': 'footway'},86977313,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
2164,"['1011904991', '1011905700', '1011904845', '3692466108', '1011905555', '1011905979', '3692466090', '1011905834', '1011905285']","{'name': 'Avenida del Conocimiento', 'highway': 'residential', 'oneway': 'yes'}",86977315,,,,,,,,,,,residential,,,,,Avenida del Conocimiento,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
