,Nod_ref,Tags,Way_Id,access,amenity,area,barrier,bicycle,bridge,bus,cycleway,handrail,hgv,highway,junction,lanes,layer,leisure,name,name:en,oneway,oneway:conditional,parking:lane:both,psv,ref,route,sidewalk,surface,tourist_bus,tracktype,color_size,color,size1,size2
9509,"['1600943289', '1600943294']","{'name': 'Calle Blas Moreno', 'highway': 'pedestrian'}",146862942,,,,,,,,,,,pedestrian,,,,,Calle Blas Moreno,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9510,"['1600943280', '1600943284', '1600943285', '1600943293', '1600943295', '1600943300']","{'name': 'Calle Blas de Ledesma', 'highway': 'pedestrian'}",146862943,,,,,,,,,,,pedestrian,,,,,Calle Blas de Ledesma,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9511,"['1386301010', '1386300122', '1386300991']","{'name': 'Calle Felipe Gómez de Valencia', 'highway': 'pedestrian'}",146862944,,,,,,,,,,,pedestrian,,,,,Calle Felipe Gómez de Valencia,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9512,"['1386161424', '1386161594']","{'name': 'Calle Luis Sanz Jiménez', 'highway': 'pedestrian'}",146862945,,,,,,,,,,,pedestrian,,,,,Calle Luis Sanz Jiménez,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9513,"['1386300587', '1386301014']","{'name': 'Calle Pedro de Raxis', 'highway': 'pedestrian'}",146862946,,,,,,,,,,,pedestrian,,,,,Calle Pedro de Raxis,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9514,"['1600943281', '1600943280', '1600943279']",{'highway': 'pedestrian'},146862947,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9515,"['1600943278', '1386161399', '1386160990', '1600943277']",{'highway': 'pedestrian'},146862948,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9517,"['1198121386', '1198120825', '1198121968']",{'highway': 'residential'},147003874,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9518,"['1212067001', '1198121026', '1198121308', '1198121144', '1198121386']","{'name': 'Calle Villa', 'highway': 'residential'}",147003875,,,,,,,,,,,residential,,,,,Calle Villa,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9519,"['1198121343', '1198121691', '1198121955', '1198120916', '1198121262', '1198121395', '1198121553', '1198121191']","{'name': 'Calle Huertos', 'highway': 'residential'}",147003876,,,,,,,,,,,residential,,,,,Calle Huertos,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9520,"['1212066556', '1212067485', '1212066071', '1212066876', '1212066423', '1212066928']",{'highway': 'residential'},147003877,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9521,"['1212066392', '1212066341', '1212067166', '1212067373', '1198121994']",{'highway': 'residential'},147003878,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9522,"['1198121167', '1198120800', '3030445278', '1198121921', '1198121139']","{'name': 'Calle de la Gloria', 'highway': 'residential'}",147003879,,,,,,,,,,,residential,,,,,Calle de la Gloria,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9523,"['1602132635', '1602132636', '1602132634', '878500227', '1602132610', '1602132609', '878500226', '1602132611', '1602132614', '878500224', '1602132616', '878500222', '1602132625', '1602132626', '1602132633', '1602132637']","{'name': 'Calle Cabo de Gata', 'highway': 'residential'}",147017761,,,,,,,,,,,residential,,,,,Calle Cabo de Gata,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9524,"['1602132400', '1602132423', '1602132461', '1602132502']","{'name': 'Calle Canales', 'highway': 'residential'}",147017762,,,,,,,,,,,residential,,,,,Calle Canales,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9525,"['283254265', '1602132416', '1602132419', '1602132422', '1602132425']","{'name': 'Calle Cuerda Alta', 'highway': 'residential'}",147017763,,,,,,,,,,,residential,,,,,Calle Cuerda Alta,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9526,"['2232137190', '2232137191', '1602132466', '1602132505', '1602132538', '1602132567', '1602132600', '1602132610']","{'name': 'Calle Despeñaperros', 'highway': 'residential'}",147017764,,,,,,,,,,,residential,,,,,Calle Despeñaperros,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9527,"['878498484', '1602135663', '1602135669', '878498902', '878499163', '878498905', '1602132470', '878498907', '1602132540', '1602132573', '878498908', '1602132612', '878498909', '1602132630', '1602132639', '1602132641', '878498910', '1602132653', '878498918', '1602132668', '878498919', '1602132670', '1602132667', '878498920', '878498921', '1602132637']","{'name': 'Calle Doñana', 'highway': 'residential'}",147017765,,,,,,,,,,,residential,,,,,Calle Doñana,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9528,"['1602132658', '1602132630', '1602132555', '1602132486']","{'name': 'Calle Escaleras del Pedregal', 'highway': 'steps'}",147017766,,,,,,,,,,,steps,,,,,Calle Escaleras del Pedregal,,,,,,,,,,,,"['#FF0000', 'peque', 1]",#FF0000,peque,1
9529,"['1602132402', '1602132444', '1602132457', '1602132472', '1602132490', '1602132502', '1602132474', '1602132469', '1602132468', '1602132459', '1602132452', '1602132447']","{'name': 'Calle La Iruela', 'highway': 'residential'}",147017767,,,,,,,,,,,residential,,,,,Calle La Iruela,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9530,"['1602132396', '1602132408', '1602132418', '1602132424', '1602132434', '1602132444']","{'name': 'Calle Mengíbar', 'highway': 'residential'}",147017768,,,,,,,,,,,residential,,,,,Calle Mengíbar,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9531,"['1602132425', '1602132433', '1602132436', '1602132437', '1602132439', '1602132441', '1602132445', '1602132467']","{'name': 'Calle Peñamadura', 'highway': 'residential'}",147017769,,,,,,,,,,,residential,,,,,Calle Peñamadura,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9532,"['76649243', '1602132397', '1602132412']","{'name': 'Calle Río Tormes', 'highway': 'residential', 'oneway': 'no'}",147017770,,,,,,,,,,,residential,,,,,Calle Río Tormes,,no,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9533,"['368248536', '368248537', '368248538', '1426416406', '1426416571', '1426416559', '1426416647', '1426416661', '1426416619', '1426416526']","{'name': 'Calle Sala de los Reyes', 'highway': 'residential'}",147017771,,,,,,,,,,,residential,,,,,Calle Sala de los Reyes,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9534,"['76649240', '1602132431']","{'name': 'Calle Valdecasillas', 'highway': 'residential', 'oneway': 'no'}",147017772,,,,,,,,,,,residential,,,,,Calle Valdecasillas,,no,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9535,"['1602132389', '1602132447']","{'name': 'Calle Valdeinfierno', 'highway': 'residential'}",147017773,,,,,,,,,,,residential,,,,,Calle Valdeinfierno,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9536,"['1602132704', '1602132701', '1602132700', '1602132697', '1602132689', '1602132687', '1602132684', '1602132683', '1602132688', '1602132693', '1602132690', '1602132685', '1602132682', '1602132679', '1602132672', '1602132669', '1602132663', '1602132658', '1602132655', '1602132640', '1602132598', '1602132590', '1602132592', '1602132593', '1602132576', '1602132526', '1602132504', '1602132484', '1602132458', '1602132455', '1602132456', '1602132471']","{'name': 'Carretera de los Filtros', 'highway': 'residential'}",147017774,,,,,,,,,,,residential,,,,,Carretera de los Filtros,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9537,"['1602132388', '1602132399', '1602132417', '1602132421', '1602132428', '1602132435', '1602132440', '1602132443', '1602132453', '1602132483', '1602132507']",{'highway': 'residential'},147017775,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9538,"['1602132637', '878498923', '1602132603', '1602132560', '878498927', '1602132519', '1602135704', '878498931', '1602132486', '1602132485', '878498933', '878498934', '878498902']","{'name': 'Calle Tablas de Daimiel', 'highway': 'residential'}",147017776,,,,,,,,,,,residential,,,,,Calle Tablas de Daimiel,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9539,"['1602132660', '1602132671', '1602132675', '1602132678', '1602132680', '1602132681', '1602132686', '1602132696', '1602132699', '1602132698', '1602132695', '1602132691', '1602132689']",{'highway': 'residential'},147017777,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9540,"['1602132602', '1602132627', '1602132642', '1602132657', '1602132661', '1602132666', '1602132665', '1602132662', '1602132659', '1602132651', '1602132647', '1602132649', '1602132656', '1602132664', '1602132673', '1602132676', '1602132677', '1602132674', '1602132660']",{'highway': 'residential'},147017778,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9541,"['1602135667', '1602132390', '1602132401', '1602132404', '878498902']","{'name': 'Calle Pilar Miró', 'highway': 'residential'}",147017779,,,,,,,,,,,residential,,,,,Calle Pilar Miró,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9542,"['1602135661', '1602135671']","{'name': 'Calle Arquillos', 'highway': 'residential'}",147018206,,,,,,,,,,,residential,,,,,Calle Arquillos,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9543,"['1602135653', '1602135657', '1602135663', '1602135671', '1602135678']","{'name': 'Calle Cabañeros', 'highway': 'residential'}",147018207,,,,,,,,,,,residential,,,,,Calle Cabañeros,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9544,"['1602135704', '1602135703', '1602135678']","{'name': 'Calle Escaleras del Lebrillo', 'highway': 'pedestrian'}",147018208,,,,,,,,,,,pedestrian,,,,,Calle Escaleras del Lebrillo,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9545,"['283254238', '1602135673', '1602135679', '1602135701']","{'name': 'Calle Los Derrocaderos', 'highway': 'residential', 'oneway': 'no'}",147018209,,,,,,,,,,,residential,,,,,Calle Los Derrocaderos,,no,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9546,"['1602135667', '1602135659', '1602135653']","{'name': 'Calle Los Secanos', 'highway': 'residential'}",147018210,,,,,,,,,,,residential,,,,,Calle Los Secanos,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9547,"['1602135659', '1602135669', '1602135685', '1602135689', '1602135700', '1602135702', '1602135703']","{'name': 'Calle Picos de Europa', 'highway': 'residential'}",147018211,,,,,,,,,,,residential,,,,,Calle Picos de Europa,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9548,"['1602135700', '1602135681', '1602135676', '1602135677']","{'highway': 'service', 'service': 'parking_aisle', 'access': 'private'}",147018212,private,,,,,,,,,,service,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9549,"['1602135702', '1602135683', '1602135687', '1602135699']","{'highway': 'service', 'service': 'parking_aisle', 'access': 'private'}",147018213,private,,,,,,,,,,service,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9550,"['878499163', '1602132427', '878499089', '878499360', '878499164']","{'name': 'Calle Javier Tortosa', 'highway': 'residential'}",147018214,,,,,,,,,,,residential,,,,,Calle Javier Tortosa,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9551,"['1602138861', '1602138859', '1602138860', '1602135667']","{'name': 'Calle Pablo Neruda', 'highway': 'residential'}",147018605,,,,,,,,,,,residential,,,,,Calle Pablo Neruda,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9552,"['878499216', '1706948325', '1602138861', '1706948312', '1602142171', '878499219', '1602138858']","{'name': 'Calle de las Palmeras', 'highway': 'residential'}",147018606,,,,,,,,,,,residential,,,,,Calle de las Palmeras,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9553,"['1602142170', '1706948320', '1602142176', '1602142178']","{'name': 'Calle Alisos', 'highway': 'residential'}",147019265,,,,,,,,,,,residential,,,,,Calle Alisos,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9554,"['1602142171', '877227064']","{'name': 'Calle Arco', 'highway': 'residential'}",147019266,,,,,,,,,,,residential,,,,,Calle Arco,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9555,"['1602142156', '1602142165']","{'name': 'Calle Ordesa', 'highway': 'residential'}",147019267,,,,,,,,,,,residential,,,,,Calle Ordesa,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9556,"['1602142162', '1602142156', '1602142155']","{'name': 'Calle Ordesa', 'highway': 'residential'}",147019269,,,,,,,,,,,residential,,,,,Calle Ordesa,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9557,"['1602142180', '878499164']","{'name': 'Paseo de las Acacias', 'highway': 'pedestrian'}",147019270,,,,,,,,,,,pedestrian,,,,,Paseo de las Acacias,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9558,"['878499164', '1602142170', '878499219']","{'name': 'Paseo de las Acacias', 'highway': 'residential'}",147019272,,,,,,,,,,,residential,,,,,Paseo de las Acacias,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9559,"['1602143588', '1602143589']","{'name': 'Calle Santuario', 'highway': 'pedestrian'}",147019546,,,,,,,,,,,pedestrian,,,,,Calle Santuario,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9560,"['1602142169', '1602144101', '1602142176', '1602143588']","{'name': 'Calle Santuario', 'highway': 'residential'}",147019547,,,,,,,,,,,residential,,,,,Calle Santuario,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9561,"['1602143579', '1602143580', '1602143581', '1602143582', '1602143583', '1602143585', '1602143586', '1602143584']","{'name': 'Plaza Maestra Pilar Gómez', 'highway': 'pedestrian'}",147019548,,,,,,,,,,,pedestrian,,,,,Plaza Maestra Pilar Gómez,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9562,"['1602143583', '1602143587']",{'highway': 'pedestrian'},147019549,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9563,"['1602144101', '1602144102']","{'name': 'Plaza del Moral', 'highway': 'residential'}",147019610,,,,,,,,,,,residential,,,,,Plaza del Moral,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9564,"['1602154005', '1602154002']","{'name': 'Calle Azahar', 'highway': 'residential'}",147021199,,,,,,,,,,,residential,,,,,Calle Azahar,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9565,"['1602153998', '1602154005']","{'name': 'Calle Azahar', 'highway': 'residential'}",147021200,,,,,,,,,,,residential,,,,,Calle Azahar,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9566,"['1602154007', '1602154016']","{'name': 'Calle Mirto', 'highway': 'residential'}",147021201,,,,,,,,,,,residential,,,,,Calle Mirto,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9567,"['1602154006', '1602154000']","{'name': 'Calle Mirto', 'highway': 'residential'}",147021202,,,,,,,,,,,residential,,,,,Calle Mirto,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9568,"['1602154012', '1602142178', '1602154004', '1602153998', '1602144102', '877227070']","{'name': 'Calle Rosaleda', 'highway': 'residential'}",147021203,,,,,,,,,,,residential,,,,,Calle Rosaleda,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9569,"['1602132471', '1602154025', '1602154026', '1602154027', '1602154024', '1602154023', '1602154022', '1602154021', '1602154020', '1602154019', '1602154018', '1602154017', '1602154015', '900947534']","{'name': 'Carretera de los Filtros', 'highway': 'residential'}",147021204,,,,,,,,,,,residential,,,,,Carretera de los Filtros,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9570,"['900947534', '1602154012', '900947902', '900947535', '900947567', '1602154011', '1602154010', '1602154008', '877227072']","{'name': 'Carretera de los Filtros', 'highway': 'residential'}",147021205,,,,,,,,,,,residential,,,,,Carretera de los Filtros,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9571,"['1602154004', '1602154009']","{'name': 'Plaza de Fátima', 'highway': 'pedestrian'}",147021206,,,,,,,,,,,pedestrian,,,,,Plaza de Fátima,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9572,"['877227072', '877227073']","{'name': 'Plaza del Cedro', 'highway': 'residential'}",147021207,,,,,,,,,,,residential,,,,,Plaza del Cedro,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9573,"['1602154002', '1602154008']","{'name': 'Plaza del Sol', 'highway': 'pedestrian'}",147021208,,,,,,,,,,,pedestrian,,,,,Plaza del Sol,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9574,"['1602154011', '1602154014', '1602154013', '1602154007', '1602154001', '1602154000', '1602154003', '1602153999', '1602156378']","{'name': 'Vial de los Álamos', 'highway': 'residential'}",147021209,,,,,,,,,,,residential,,,,,Vial de los Álamos,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9575,"['900947535', '1602154009', '1602154005']",{'highway': 'pedestrian'},147021210,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9576,"['1602154002', '1602153997']",{'highway': 'residential'},147021211,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9577,"['900947512', '1602156382', '900947895', '900947528', '900947666']","{'name': 'Calle de los Cipreses', 'highway': 'residential'}",147021363,,,,,,,,,,,residential,,,,,Calle de los Cipreses,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9578,"['1353958381', '1353958340']","{'name': 'Calle Formosa', 'highway': 'pedestrian'}",147519706,,,,,,,,,,,pedestrian,,,,,Calle Formosa,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9579,"['1607342213', '1607342212', '1607342211']","{'name': 'Calle Rincón de Asís', 'highway': 'residential'}",147519707,,,,,,,,,,,residential,,,,,Calle Rincón de Asís,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9580,"['554797709', '266215967']","{'highway': 'residential', 'source:name': 'survey', 'oneway': 'yes'}",147519805,,,,,,,,,,,residential,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9581,"['881029118', '554797684']",{'highway': 'residential'},147520384,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9582,"['1607358335', '1607358340']","{'name': 'Calle Escultor Antonio Martínez Olalla', 'highway': 'pedestrian'}",147521539,,,,,,,,,,,pedestrian,,,,,Calle Escultor Antonio Martínez Olalla,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9583,"['388430244', '266328757']","{'name': 'Calle José Recuerda', 'highway': 'residential', 'oneway': 'yes'}",147521540,,,,,,,,,,,residential,,,,,Calle José Recuerda,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9584,"['1607358329', '1607358328']","{'name': 'Calle La Pampa', 'highway': 'pedestrian'}",147521541,,,,,,,,,,,pedestrian,,,,,Calle La Pampa,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9585,"['1607358331', '1607358330']","{'name': 'Calle Rivadavia', 'highway': 'pedestrian'}",147521542,,,,,,,,,,,pedestrian,,,,,Calle Rivadavia,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9587,"['1607368353', '1607368377']","{'name': 'Calle San Isidoro', 'highway': 'residential'}",147522275,,,,,,,,,,,residential,,,,,Calle San Isidoro,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9588,"['1607368373', '1607368380']","{'name': 'Calle San Isidoro', 'highway': 'residential'}",147522276,,,,,,,,,,,residential,,,,,Calle San Isidoro,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9589,"['1607368383', '1607368387', '1607368409', '21293502']","{'name': 'Plaza Guitarrista Manuel Cano', 'highway': 'secondary', 'oneway': 'yes'}",147522277,,,,,,,,,,,secondary,,,,,Plaza Guitarrista Manuel Cano,,yes,,,,,,,,,,"['#FFFF00', 'grande', 1]",#FFFF00,grande,1
9590,"['21293502', '1607368413', '1607368407', '1607368389', '1607368385']","{'name': 'Plaza Guitarrista Manuel Cano', 'highway': 'secondary', 'oneway': 'yes'}",147522278,,,,,,,,,,,secondary,,,,,Plaza Guitarrista Manuel Cano,,yes,,,,,,,,,,"['#FFFF00', 'grande', 1]",#FFFF00,grande,1
9591,"['1607368387', '3663357446', '1352920194']",{'highway': 'service'},147522279,,,,,,,,,,,service,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9592,"['1607368391', '2375977677', '1607368405']",{'highway': 'service'},147522280,,,,,,,,,,,service,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9593,"['2377499018', '33244586']","{'name': 'Calle Méndez Núñez', 'highway': 'secondary'}",147522281,,,,,,,,,,,secondary,,,,,Calle Méndez Núñez,,,,,,,,,,,,"['#FFFF00', 'grande', 1]",#FFFF00,grande,1
9594,"['1607368407', '1607368411', '1607368415', '1607368391', '1607368389']","{'highway': 'service', 'oneway': 'yes'}",147522282,,,,,,,,,,,service,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9595,"['1607381624', '1607381623']","{'name': 'Calle Jacinto Benavente', 'highway': 'pedestrian'}",147522890,,,,,,,,,,,pedestrian,,,,,Calle Jacinto Benavente,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9596,"['1607381607', '2375977685', '1607381608']",{'highway': 'service'},147522891,,,,,,,,,,,service,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9597,"['388430240', '103028657']","{'highway': 'residential', 'oneway': 'yes'}",147522892,,,,,,,,,,,residential,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9598,"['1607381625', '1607381626']","{'highway': 'tertiary', 'oneway': 'yes'}",147522893,,,,,,,,,,,tertiary,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
9599,"['89291458', '1607381625']","{'highway': 'tertiary', 'oneway': 'yes'}",147522894,,,,,,,,,,,tertiary,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
9600,"['3797492077', '1607381612', '1607381615', '1607381620']",{'highway': 'service'},147522895,,,,,,,,,,,service,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9601,"['1607381621', '1607381620', '1607381613', '2485099749', '1607381601']","{'name': 'Calle María Moliner', 'highway': 'tertiary', 'oneway': 'yes'}",147522896,,,,,,,,,,,tertiary,,,,,Calle María Moliner,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
9602,"['1607381600', '1607381602', '1607381607', '1607381619', '1607381621']","{'highway': 'service', 'oneway': 'yes'}",147522897,,,,,,,,,,,service,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9603,"['1351238659', '1607381605', '1607381599', '1607381593', '1607381591', '1607381598', '2485099749']","{'highway': 'service', 'oneway': 'yes'}",147522898,,,,,,,,,,,service,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9604,"['1607383135', '2375977694', '2375977690', '1607383133']",{'highway': 'pedestrian'},147522926,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9605,"['552861820', '544481128']","{'surface': 'paved', 'name': 'Calle Arabial', 'highway': 'pedestrian'}",147524340,,,,,,,,,,,pedestrian,,,,,Calle Arabial,,,,,,,,,paved,,,"['#A9A9A9', 'peque', 1]",#A9A9A9,peque,1
9606,"['827377975', '1520097251', '582465762', '568340366', '582468568', '582468703']","{'name': 'Calle Arabial', 'highway': 'residential', 'short_name': 'Arabial'}",147524343,,,,,,,,,,,residential,,,,,Calle Arabial,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9607,"['1828460932', '1607402533', '1607402532', '1607402530', '1607400508', '1607402528', '1607400507']","{'name': 'Calle Julio Verne', 'highway': 'residential', 'oneway': 'yes'}",147524344,,,,,,,,,,,residential,,,,,Calle Julio Verne,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9608,"['549790144', '1351135493', '549790140']","{'name': 'Calle Recoletos', 'highway': 'residential'}",147524345,,,,,,,,,,,residential,,,,,Calle Recoletos,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9609,"['1351091150', '549790144']","{'name': 'Plaza de la Ilusión', 'highway': 'residential'}",147524347,,,,,,,,,,,residential,,,,,Plaza de la Ilusión,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9610,"['1139365065', '549774347']","{'highway': 'residential', 'oneway': 'yes'}",147524348,,,,,,,,,,,residential,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9611,"['388430239', '33244585']","{'highway': 'tertiary', 'oneway': 'yes'}",147524349,,,,,,,,,,,tertiary,,,,,,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
9612,"['1607400505', '1607400504']",{'highway': 'residential'},147524351,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
9613,"['1607402533', '1607402531', '1607402529', '1607402527', '1607402525', '1607402524', '1607402522', '1607402519', '1607402517', '1607402515', '1607402513']",{'highway': 'footway'},147525780,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
