,Way_Id,Nod_ref,Tags
115,10056675,"['82641967', '881028980', '881029200', '881028787']","{'highway': 'tertiary', 'oneway': 'no'}"
116,10071868,"['21478876', '288595519']","{'source:date': '2008', 'highway': 'motorway_link', 'source': 'PNOA', 'oneway': 'yes'}"
117,10071874,"['265744978', '330186057']","{'name': 'Calle San Ignacio', 'highway': 'residential', 'oneway': 'yes'}"
118,10072155,"['66530167', '1513971974', '82773653']","{'name': 'Calle Fray Juan Sánchez Cotán', 'highway': 'secondary'}"
119,10072158,"['1905480497', '308840872', '582488834', '1596050054', '581052456', '311670611', '1596064711', '582488837', '1596064710', '1596064708', '582488827', '1596064706', '582488825', '77735508']","{'name': 'Calle Julio Moreno Dávila', 'highway': 'tertiary'}"
120,10073846,"['82786213', '484569416', '1692090161', '1352809838', '1692090170', '61366575']","{'name': 'Avenida Luis Miranda Dávalos', 'highway': 'tertiary', 'oneway': 'yes'}"
121,10073848,"['82786231', '1033185487', '21293496', '1233325810', '21293490', '21293504', '21293487', '21293472', '1233326185', '21293454', '61366595', '82786219', '2201901187', '1393070599', '82786231']","{'highway': 'tertiary', 'junction': 'roundabout'}"
122,10073853,"['1033186577', '1033185903', '82786263', '1033184873', '484559748']","{'highway': 'residential', 'oneway': 'yes'}"
123,10100433,"['82786231', '83078514', '2201901203', '83078523']","{'highway': 'residential', 'oneway': 'yes'}"
124,10100436,"['83078593', '83078600', '1033185506', '83078609', '21293618']","{'source:date': '2008', 'highway': 'secondary', 'source': 'PNOA', 'oneway': 'yes'}"
125,10101233,"['83096775', '938259333', '939824433', '939824391', '1688542717', '83096781']","{'name': 'Calle Doctor Marañón', 'highway': 'residential', 'oneway': 'yes'}"
126,10101235,"['310159689', '83096781', '83096788', '83096806', '310159690', '1226408865', '310159689']","{'name': 'Plaza del Doctor López Neyra', 'highway': 'residential', 'oneway': 'yes'}"
127,10101236,"['83096806', '83096816']","{'name': 'Calle Doctor Fermín Garrido', 'highway': 'residential', 'oneway': 'yes'}"
128,10101237,"['83096816', '484621552', '83096826']","{'name': 'Calle Doctor Fidel Fernández', 'highway': 'residential', 'oneway': 'yes'}"
129,10101238,"['2679582655', '1348292219', '1348292790', '321205353', '1244544781']","{'name': 'Avenida del Sur', 'highway': 'residential', 'oneway': 'yes'}"
130,10101239,"['83096834', '310159710']","{'name': 'Calle Doctor Enrique Hernández', 'highway': 'residential', 'oneway': 'yes'}"
131,10101241,"['310159683', '83096852']","{'name': 'Calle Doctor Azpitarte', 'highway': 'residential'}"
132,10101244,"['1144241793', '1381677129', '1757393515', '21293457', '1224344741', '1658938898', '1771852565']","{'name': 'Avenida de Fuente Nueva', 'highway': 'tertiary', 'oneway': 'yes'}"
133,10101245,"['1144242736', '290969137', '1144242251', '1144242678', '1144241921']","{'name': 'Calle Doctor Severo Ochoa', 'highway': 'secondary', 'lanes': '2', 'oneway': 'yes'}"
134,10101250,"['1589614891', '83096983', '83096993', '83096999']","{'highway': 'motorway_link', 'ref': 'A-44', 'oneway': 'yes'}"
135,10101251,"['554810144', '83533536', '1607368383', '1607368385', '83096947', '89291455', '83096950', '556162703', '83533273', '83096958', '1589614897', '1589614896', '1589614894', '1589614893', '1589614890', '1589614891', '83533461', '83533493', '554810144']","{'highway': 'secondary', 'junction': 'roundabout', 'oneway': 'yes'}"
136,10111112,"['21478886', '21478795', '2090001857', '2090001856', '2090001855', '21478800', '2090001853', '21478788', '2090001849', '2090001845', '2090001841', '83301159', '2090001838', '2090001836', '2090001834', '83301165', '2090001830', '2090001826', '2090001824', '83301172', '2090001823', '1132186350', '83301181']","{'maxspeed': '80', 'highway': 'motorway_link', 'lanes': '2', 'oneway': 'yes'}"
137,10111115,"['259852470', '1754684115', '471057298', '2327664217', '1812348740', '1420213244', '1812348732', '1420213259', '83301266', '471057306', '1812348720', '259852464', '471057307', '259852468', '1812348728', '1116630411', '259852466', '1449415358', '471057305', '1449415352', '1449415354', '259852472', '471057295', '1420213261', '2327664220', '259852470']","{'highway': 'primary', 'junction': 'roundabout'}"
138,10126558,"['61356277', '83533064', '83533089', '2191340721', '83533106', '2191511119', '2191511103', '83533113']","{'highway': 'motorway_link', 'oneway': 'yes'}"
139,10126560,"['83533128', '2191511106', '2191511110', '2191511121', '1132201364', '83533145', '664162823']","{'highway': 'motorway_link', 'oneway': 'yes'}"
140,10126562,"['83533159', '83533200', '1132186380', '83533273']","{'highway': 'motorway_link', 'ref': 'A-44', 'oneway': 'yes'}"
141,10126572,"['61369672', '83533599', '83533627', '83533655', '83533665', '83533686', '3460359261', '1511337259', '1511337260', '83533701', '83533717', '3692269782', '3692269789', '264517825']","{'name': 'Callejón de Lebrija', 'highway': 'residential', 'bus': 'no', 'hgv': 'no', 'oneway': 'yes'}"
142,10126581,"['264517825', '83533757', '318121567', '484675897', '83533822', '83533857', '83533861']","{'name': 'Callejón de Tallacarne', 'highway': 'residential', 'oneway': 'no'}"
143,10152476,"['83743280', '1685855588', '306513515', '1249565790', '306513528', '4361729108', '308675061', '88144063', '1685845233', '308674375', '308674161', '308675474', '83743286']","{'name': 'Calle Periodista José María Carulla', 'highway': 'residential'}"
144,10369998,"['33400011', '33400012', '33400013', '484563652', '484563650', '1676950269', '33400016', '33400017', '308473370', '88143788', '484563654', '33400009', '33400010', '33400011']","{'name': 'Avenida Federico García Lorca', 'highway': 'secondary', 'junction': 'roundabout'}"
145,10370000,"['88143807', '1693494627', '582486777', '582486807', '582486714', '1597497920', '1693494619', '1905480445', '1684907661']","{'name': 'Calle Iznájar', 'highway': 'residential', 'oneway': 'yes'}"
146,10370002,"['88143949', '1684907658', '1597497919', '582486711', '582486803', '582486768', '88143911', '1384805368', '1449596574', '1449596572', '1384804635', '1449596575', '484584708']","{'name': 'Calle Ismail', 'highway': 'residential'}"
147,10370006,"['265744992', '1597497916', '1919749408', '1597497915', '88143979']","{'name': 'Calle Profesor Francisco Dalmau', 'highway': 'residential'}"
148,10370008,"['88144063', '1491618799', '1491618802', '306513521']","{'name': 'Calle Periodista Rafael Gago Palomo', 'highway': 'residential', 'oneway': 'yes'}"
149,10430379,"['4267828268', '4267828269', '4267828270', '89225957', '89225970', '4267828259', '4267828260', '4267828261', '89225989', '309863918', '4267828262', '4267828263', '4267828264', '89225978', '309863920', '4267828265', '4267828266', '4267828267', '89225998', '309863923', '4267828268']","{'highway': 'tertiary', 'ref': 'GR-3304', 'junction': 'roundabout', 'source': 'PNOA;datos oficiales'}"
150,10430380,"['89225938', '1205894102', '1205894151', '1211955913', '89225957']","{'highway': 'tertiary', 'ref': 'GR-3304', 'source': 'PNOA;datos oficiales'}"
151,10430382,"['89225978', '1205894271', '1205894117', '89225993', '1205894385', '89226013', '1480176119']","{'highway': 'tertiary', 'ref': 'GR-3304', 'source': 'PNOA;datos oficiales'}"
152,10430384,"['1143007015', '1143006942', '1143006619', '1143006808', '89226050', '1143007076', '1207441852', '89226048', '1207442290', '1143006859', '89226056', '89226057', '1207442408', '89226051', '1207442166', '1207441862', '89226052', '89276639', '1207441954', '1207442029', '1143006904', '1207442206', '1207442750', '89276651', '3034590833', '1207442034', '1207441834', '1207442361', '1205817359', '1207442023', '1207442451', '1207441977', '1207442754', '1207442641', '1207442706', '1207441850', '89276669', '89276697', '1207442571', '89276713', '1207441818', '1205907046', '1207441753', '1207442740', '1207442256', '1207442660', '2410997442', '1207442651']","{'name': 'Avenida Andalucía', 'highway': 'tertiary', 'ref': 'GR-3304', 'source': 'PNOA;datos oficiales'}"
153,10432765,"['1987311122', '2214971443']","{'highway': 'tertiary', 'source': 'datos oficiales', 'ref': 'GR-3303', 'oneway': 'yes'}"
154,10501843,"['83096898', '83096911', '83096921', '83096931', '304494167', '1144241858', '1144241921']","{'name': 'Calle Rector Marín Ocete', 'highway': 'residential', 'oneway': 'yes'}"
